Manhattan/Ft. Riley, KS: Manhattan Regional,MHK,5086
Springfield, IL: Abraham Lincoln Capital,SPI,5052
Grand Island, NE: Central Nebraska Regional,GRI,5042
Portsmouth, NH: Portsmouth International at Pease,PSM,4949
Pullman, WA: Pullman Moscow Regional,PUW,4777
Hilton Head, SC: Hilton Head Airport,HHH,4770
Yakima, WA: Yakima Air Terminal/McAllister Field,YKM,4668
Sun Valley/Hailey/Ketchum, ID: Friedman Memorial,SUN,4651
Wenatchee, WA: Pangborn Memorial,EAT,4502
Sitka, AK: Sitka Rocky Gutierrez,SIT,4462
San Angelo, TX: San Angelo Regional/Mathis Field,SJT,4322
Salisbury, MD: Salisbury-Ocean City/Wicomico Regional,SBY,4268
Tyler, TX: Tyler Pounds Regional,TYR,4193
Lake Charles, LA: Lake Charles Regional,LCH,4046
Kodiak, AK: Kodiak Airport,ADQ,4036
Nantucket, MA: Nantucket Memorial,ACK,3986
Waco, TX: Waco Regional,ACT,3910
Marquette, MI: Sawyer International,MQT,3745
Williston, ND: Sloulin Field International,ISN,3725
Roswell, NM: Roswell International Air Center,ROW,3614
Pocatello, ID: Pocatello Regional,PIH,3406
Greenville, NC: Pitt Greenville,PGV,3366
Deadhorse, AK: Deadhorse Airport,SCC,3265
Redding, CA: Redding Municipal,RDD,3207
Joplin, MO: Joplin Regional,JLN,3201
Dothan, AL: Dothan Regional,DHN,3185
Walla Walla, WA: Walla Walla Regional,ALW,3138
New Haven, CT: Tweed New Haven,HVN,3128
Twin Falls, ID: Joslin Field - Magic Valley Regional,TWF,3098
Lawton/Fort Sill, OK: Lawton-Fort Sill Regional,LAW,3029
Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field,SUX,2953
Valdosta, GA: Valdosta Regional,VLD,2924
Hayden, CO: Yampa Valley,HDN,2919
Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal,SPS,2829
Florence, SC: Florence Regional,FLO,2821
Columbus, MS: Golden Triangle Regional,GTR,2816
Lewiston, ID: Lewiston Nez Perce County,LWS,2722
Clarksburg/Fairmont, WV: North Central West Virginia,CKB,2693
Kotzebue, AK: Ralph Wien Memorial,OTZ,2665
Binghamton, NY: Greater Binghamton/Edwin A. Link Field,BGM,2656
Nome, AK: Nome Airport,OME,2618
Barrow, AK: Wiley Post/Will Rogers Memorial,BRW,2585
Texarkana, AR: Texarkana Regional-Webb Field,TXK,2556
Columbus, GA: Columbus Airport,CSG,2531
Dubuque, IA: Dubuque Regional,DBQ,2342
Saipan, TT: Francisco C. Ada Saipan International,SPN,2310
Albany, GA: Southwest Georgia Regional,ABY,2271
Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field,HGR,2163
Bemidji, MN: Bemidji Regional,BJI,2149
Brunswick, GA: Brunswick Golden Isles,BQK,2079
Aberdeen, SD: Aberdeen Regional,ABR,2056
Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field,SMX,2012
Beaumont/Port Arthur, TX: Jack Brooks Regional,BPT,1958
Pago Pago, TT: Pago Pago International,PPG,1953
Longview, TX: East Texas Regional,GGG,1948
Stillwater, OK: Stillwater Regional,SWO,1946
Cody, WY: Yellowstone Regional,COD,1898
Sault Ste. Marie, MI: Chippewa County International,CIU,1845
Ogdensburg, NY: Ogdensburg International,OGS,1781
Martha's Vineyard, MA: Martha's Vineyard Airport,MVY,1767
Rhinelander, WI: Rhinelander/Oneida County,RHI,1749
Butte, MT: Bert Mooney,BTM,1747
St. Cloud, MN: St. Cloud Regional,STC,1718
