4W,\N,FAI,3832,FYU,3420,,0,PA2,143 
4W,\N,FAI,3832,MLY,7246,,0,CN1,83 
4W,\N,FAI,3832,RMP,7112,,0,CN1,82 
4W,\N,FAI,3832,SVS,9741,,0,PA2,90 
4W,\N,FAI,3832,TAL,7113,,0,PA2,127 
4W,\N,FAI,3832,WBQ,7115,,0,PA2,108 
4W,\N,FYU,3420,CIK,7105,,0,PA2,42 
4W,\N,FYU,3420,FAI,3832,,0,PA2,143 
4W,\N,IRC,7236,FAI,3832,,0,PA2,130 
4W,\N,MLY,7246,MNT,7110,,0,CN1,39 
4W,\N,MNT,7110,FAI,3832,,0,CN1,50 
4W,\N,RMP,7112,FAI,3832,,0,CN1,82 
4W,\N,SVS,9741,FAI,3832,,0,PA2,90 
4W,\N,SVS,9741,WBQ,7115,,0,PA2,52 
4W,\N,TAL,7113,FAI,3832,,0,PA2,127 
4W,\N,WBQ,7115,FAI,3832,,0,PA2,108 
4W,\N,WBQ,7115,SVS,9741,,0,PA2,52 
4Y,1173,AKI,7217,TLT,7218,,0,CNA,16 
4Y,1173,ATT,4385,KUK,7094,,0,CNA,8 
4Y,1173,BET,3599,ATT,4385,,0,CNA,16 
4Y,1173,BET,3599,EEK,7093,,0,CNA,40 
4Y,1173,BET,3599,GNU,8202,,0,CNA,115 
4Y,1173,BET,3599,KPN,7201,,0,CNA,95 
4Y,1173,BET,3599,KWN,7206,,0,CNA,71 
4Y,1173,BET,3599,KWT,7095,,0,CNA,13 
4Y,1173,BET,3599,MLL,7097,,0,CNA,75 
4Y,1173,BET,3599,NME,8199,,0,CNA,100 
4Y,1173,BET,3599,WNA,9739,,0,CNA,8 
4Y,1173,BET,3599,WTL,7099,,0,CNA,41 
4Y,1173,CYF,6960,BET,3599,,0,CNA,95 
4Y,1173,EEK,7093,BET,3599,,0,CNA,40 
4Y,1173,EEK,7093,KWN,7206,,0,CNA,32 
4Y,1173,GNU,8202,PTU,3430,,0,CNA,11 
4Y,1173,KKH,7213,KWK,7096,,0,CNA,12 
4Y,1173,KKI,9742,AKI,7217,,0,CNA,9 
4Y,1173,KPN,7201,CYF,6960,,0,CNA,17 
4Y,1173,KUK,7094,NUP,7212,,0,CNA,4 
4Y,1173,KWK,7096,BET,3599,,0,CNA,77 
4Y,1173,KWN,7206,BET,3599,,0,CNA,71 
4Y,1173,KWN,7206,EEK,7093,,0,CNA,32 
4Y,1173,KWT,7095,KKI,9742,,0,CNA,9 
4Y,1173,MLL,7097,PQS,7216,,0,CNA,31 
4Y,1173,NME,8199,OOK,8200,,0,CNA,14 
4Y,1173,NUP,7212,BET,3599,,0,CNA,22 
4Y,1173,OOK,8200,TNK,8201,,0,CNA,6 
4Y,1173,PKA,9744,BET,3599,,0,CNA,6 
4Y,1173,PQS,7216,BET,3599,,0,CNA,90 
4Y,1173,PTU,3430,BET,3599,,0,CNA,122 
4Y,1173,TLT,7218,BET,3599,,0,CNA,38 
