4280,SDX
4284,MGW
4285,CRW
4286,AVP
4287,BJI
4292,FAR
4293,MKC
4296,GCC
4298,NZJ
4318,SCE
4335,MEI
4336,SPI
4338,CEZ
4339,HDN
4340,GUP
4341,LBL
4342,LAA
4343,GLD
4344,COD
4348,SGF
4354,JLN
4355,ABE
4356,XNA
4359,SBN
4383,SMD
4384,ACV
4386,OAJ
4387,TCL
4388,DBQ
5714,ABR
5715,ABY
5716,AHN
5717,ALM
5718,ALO
5719,ALW
5720,APN
5721,ATY
5722,BFD
5723,BFF
5724,BKW
5725,BQK
5726,BRL
5727,CEC
5728,CGI
5729,CIU
5730,CKB
5731,CLM
5732,CMX
5733,DDC
5734,DUJ
5735,EAU
5736,EKO
5737,EWB
5738,FAY
5739,GGW
5740,GRI
5741,HOT
5742,HTS
5744,IRK
5745,JMS
5746,LAR
5747,LBE
5748,LBF
5749,LEB
5750,LMT
5751,LNS
5752,LWT
5753,LYH
5754,MKG
5755,MLS
5756,MSL
5757,OTH
5758,OWB
5759,PIB
5760,PIH
5761,PIR
5762,PLN
5763,PSM
5764,RDG
5765,RHI
5766,RKS
5767,RUT
5768,SBP
5769,SHR
5770,SLK
5771,SLN
5772,SMX
5773,TUP
5774,UIN
5775,VCT
5776,VLD
5777,WRL
5779,YKM
5959,ADK
5960,GST
5961,SGY
5962,HCR
5963,HNS
5964,KLG
5965,MCG
5966,MOU
5967,ANI
5968,VAK
5969,WRG
5989,LUP
6126,WKK
6128,BLF
6130,GLH
6133,PSC
6134,KQA
6136,LPS
6415,WKL
6426,ORH
6445,PWT
6446,SPW
6447,JEF
6456,PVC
6481,FUL
6482,USA
6494,SUN
6500,MCW
6505,AZA
6712,AKP
6713,ANV
6714,ATK
6715,GAM
6716,HPB
6717,KAL
6718,KSM
6719,KVL
6720,MYU
6722,RBY
6723,SHH
6724,SVA
6725,WTK
6729,ARC
6736,KPC
6739,HGR
6742,SDP
6755,DRG
6763,IGG
6764,KNW
6765,KVC
6766,PTH
6767,TOG
6800,ESC
6803,YAK
6825,MWA
6837,IMT
6839,AET
6844,MGC
6845,SWD
6849,GRM
6853,AUW
6871,MIE
6873,LAF
6877,VGT
6878,ENW
6880,MTJ
6881,RIW
6883,PDT
6909,OSH
6916,EAT
6948,FWH
6956,GYY
6957,BRD
6958,LWB
6959,PGV
6960,CYF
6961,OXR
6962,BKG
6968,SCH
6989,UST
6992,STS
6993,ISM
6994,LCQ
6998,LGU
6999,BMC
7001,ASE
7009,ERV
7011,GED
7013,GBD
7014,HYS
7015,SUS
7016,LYU
7017,GPZ
7018,TVF
7019,EGV
7020,ARV
7025,AVX
7026,MHV
7035,HUT
7042,STJ
7048,VOK
7051,GUC
7053,TOA
7054,MBL
7056,PGD
7058,WFK
7059,JHW
7061,SME
7062,SHD
7063,DVL
7064,DIK
7065,SDY
7066,CDR
7067,AIA
7068,MCK
7069,MTH
7070,GDV
7071,OLF
7072,WYS
7073,ALS
7074,CNY
7075,ELY
7076,VEL
7077,RUI
7078,SOW
7079,MYL
7080,SMN
7081,MMH
7082,FRD
7083,ESD
7085,AST
7086,ONP
7087,EMK
7088,UNK
7089,UUK
7090,SHX
7091,CHU
7092,NUI
7093,EEK
7094,KUK
7095,KWT
7096,KWK
7097,MLL
7098,RSH
7101,KGK
7103,KMO
7105,CIK
7106,EAA
7107,HUS
7108,HSL
7111,NUL
7114,VEE
7115,WBQ
7116,CEM
7117,SHG
7120,IYK
7121,VIS
7122,MCE
7126,GYR
7135,AGN
7136,ELV
7140,FNR
7142,HNH
7146,MTM
7148,HYG
7154,EGX
7157,KPV
7158,PIP
7159,WSN
7160,AKK
7161,KYK
7162,KLN
7177,ABL
7178,BKC
7179,IAN
7180,OBU
7181,ORV
7182,WLK
7183,KTS
7184,ELI
7185,GLV
7186,TLA
7187,WAA
7188,WMO
7190,KKA
7191,SMK
7192,SKK
7194,TNC
7195,AKB
7196,IKO
7198,CYT
7199,AUK
7201,KPN
7202,KFP
7203,NLG
7204,PML
7205,KLW
7206,KWN
7207,KOT
7208,KYU
7209,SCM
7210,NNL
7213,KKH
7214,NIB
7217,AKI
7220,AIN
7233,NCN
7235,TKJ
7236,IRC
7240,SLQ
7245,LMA
7246,MLY
7415,MRB
7494,RKH
7495,AGC
7496,VQQ
7497,FTY
7511,OSU
7513,ADS
7514,DSI
7522,ISO
7523,FFA
7579,PVU
7580,SBS
7581,DTA
7583,PUC
7584,LAM
7586,HII
7587,INW
7588,DGL
7621,BOW
7629,LVK
7630,RMY
7646,TRM
7647,SMO
7648,UDD
7649,SCF
7650,OLM
7652,RIL
7653,SAA
7654,PDK
7655,BMG
7656,SUA
7657,MMU
7658,APC
7659,SDM
7662,VNC
7663,PHK
7669,ECP
7670,SBD
7683,SQL
7690,RWI
7692,SXQ
7693,SEE
7702,TKF
7717,LVM
7727,GMV
7729,JRA
7732,LAL
7769,RBK
7776,MGY
7778,FDY
7809,SPF
7817,OLV
7822,BJC
7826,SLE
7827,UTM
7839,MWC
7840,JVL
7847,LZU
7848,BWG
7849,RVS
7857,BCE
7869,JCI
7870,ESN
7875,MYV
7880,DUC
7885,UVA
7886,LOT
7888,CCR
7889,OCA
7907,ATO
7908,SGH
7925,TOP
7930,MQY
7931,UOS
7936,PWK
7938,KLS
7978,ILN
7979,AVW
7980,CGZ
7982,BXK
7984,MMI
7985,STK
7986,RWL
7990,CDW
7991,AIZ
7998,TVI
7999,HSH
8005,TMA
8030,DVT
8034,FRG
8050,MCL
8052,PPC
8062,HLG
8077,RKP
8121,TTD
8122,HIO
8135,BNO
8136,PRZ
8137,RBL
8138,NOT
8139,LKV
8140,OTK
8141,ONO
8142,DLS
8143,GAI
8187,MVL
8188,RBD
8194,WST
8195,BID
8199,NME
8200,OOK
8215,BGE
8220,WHP
8221,MAE
8252,AAF
8274,FPR
8277,PYM
8278,NCO
8280,OWD
8281,BAF
8283,MGJ
8284,HAR
8286,DXR
8287,ASH
8288,LWM
8289,OXC
8294,RMG
8295,GAD
8297,WDR
8299,DNN
8302,LGC
8305,PIM
8308,GVL
8312,PHD
8314,HHH
8318,DNL
8319,MRN
8320,PVL
8322,TOC
8342,AFW
8366,LWC
8379,PPM
8410,LOZ
8412,FBG
8430,RAC
8446,TIW
8460,GUF
8473,HZL
8474,CBE
8493,LNR
8496,JOT
8497,VYS
8499,JXN
8504,BBX
8505,OBE
8506,SEF
8507,AVO
8508,GIF
8509,ZPH
8510,OCF
8515,AIK
8516,CDN
8517,LBT
8519,SOP
8526,SVH
8532,LHV
8544,BKL
8545,DKK
8548,LLY
8550,LDJ
8553,ANQ
8565,CLW
8593,CGX
8604,CRE
8625,WBW
8626,LNN
8631,FFT
8632,LEW
8641,MRK
8644,DRE
8646,GDW
8653,MFI
8654,ISW
8655,CWI
8658,BVY
8664,POF
8667,EOK
8681,STP
8706,HAO
8742,FLD
8744,STE
8759,GQQ
8763,CKV
8771,LPC
8772,CTH
8777,LKP
8784,AOH
8789,SSI
8790,BFP
8792,GGE
8793,HDI
8796,RNT
8798,POC
8801,CTY
8802,CEU
8804,BEC
8815,SNY
8824,JRF
8833,ECA
8854,WBU
8864,PAO
8869,MSC
8877,PTK
8888,EEN
8925,IOW
8935,ANP
8950,PEQ
8951,HBG
8958,YKN
8982,HWD
8989,ARB
9071,NGZ
9102,IMM
9120,PTB
9126,SBM
9138,MZJ
9140,SAD
9164,SIK
9178,GFL
9183,MTN
9186,FRY
9188,NEW
9189,COE
9190,BMT
9191,DNV
9199,TIX
9225,AAP
9226,FCM
9228,OJC
9251,MNZ
9252,LJN
9387,PTA
9399,EWK
9403,TZR
9406,FBR
9408,CLS
9411,EVW
9415,EUF
9417,MEO
9418,AUO
9450,DBN
9488,CVO
9543,OGD
9546,AKO
9547,SHN
9739,WNA
9744,PKA
9763,DYL
9772,OCW
9776,SWO
9777,OKM
9778,CUH
9779,CSM
9780,WLD
9781,PWA
9782,DTN
9783,SEP
9787,ADT
9794,IRB
9797,IKB
9799,DAN
9806,HCW
10017,EMT
10102,SSF
10104,JAS
10106,MRF
10107,ALE
10117,CCB
10122,EKI
10128,CUB
10131,GDC
10133,HVS
10145,LEE
10162,CNO
10185,PRB
10360,HAF
10371,WJF
11004,ASN
11005,GMU
11010,TOI
11012,ETS
11022,ALX
11070,HDE
11071,PTT
11074,LXN
11076,CBF
11077,OKK
11082,GBG
11084,GUY
11090,IDP
11094,BBC
11095,PRX
11096,CFV
11098,GXY
11100,OEL
11101,FET
11102,LGD
11110,MPO
11111,UKT
11131,BNG
11134,OFK
11153,TPF
11243,MTP
11255,VPZ
11299,LDM
11312,RHV
11638,WVI
11648,HLI
11814,ALN
11815,AXN
11816,CLU
11817,BBD
11818,BIH
11819,BKE
11820,BPI
11821,WMH
11822,BTL
11823,BYI
11824,CCY
11825,CNU
11826,CRG
11827,CSV
11828,DAA
11829,DAG
11830,DMN
11831,DRA
11832,EED
11833,EGI
11834,EKA
11836,HYR
11837,JCT
11839,LOL
11840,MBG
11841,MCB
11842,MDH
11843,MMT
11844,NHZ
11845,NRB
11846,OGB
11848,OTM
11849,OZR
11850,PWY
11851,POU
11853,RSL
11854,RWF
11855,SNS
11858,TPH
11860,UKI
11861,UOX
11862,HTV
11863,VTN
11864,WMC
11865,WWR
11868,ZZV
11918,ENN
11919,WWA
12528,MVW
12672,APT
12675,DCU
12676,GLW
12873,RNZ
12950,TBR
13074,ETB
13075,GLR
13077,AID
13080,PCD
13139,TSM
13142,RTN
13154,PPA
13156,FLP
13158,BGD
13189,SQA
13233,SPA
13265,PPF
13267,AYS
13271,PMH
13336,CLP
13439,RDB
13707,SOV
13757,VDI
13803,MHE
